Name,Price,Garage monthly,Tire Set,Oil change,Engine Rebuild,Gearbox Rebuild,Brakes Rebuild,Insurance annual,Cosmetic fix,Bolt-on repair,Factory rebuild,Weight (kg),Horsepower (bhp),Top Speed (km/h)
Formula Ford,33480,200,600,150,4500,3500,800,1800,300,1200,7000,420,115-140,215
Caterham 200,66960,250,700,180,5000,4000,1000,2000,400,1500,8500,575,200,225
BTCC/ToCa,196000,500,1200,300,20000,15000,3000,6000,800,3500,35000,1150,270,255
NGT,239400,750,1800,400,30000,22000,5000,12000,1500,6000,50000,1110,445,285
GT,705600,800,2000,450,35000,25000,5500,15000,1800,7000,55000,1100,605,335
Porsche Cup,148800,400,1200,300,18000,12000,3000,5000,1000,4000,28000,1140,380,280
Honda Civic Cup,22320,150,500,120,3000,2500,600,1200,200,800,5000,1143,222,210
TVR T400R,135350,350,1000,250,12000,9000,2500,4500,900,3500,20000,1100,390,290
Ginetta GT4,102300,300,900,220,10000,7500,2000,3500,700,2500,16000,1400,500,265
HHCup - Mito,46500,200,600,150,4000,3500,800,1800,300,1200,7000,1000,200,220
HHCup - Citroen DS3,46500,200,600,150,4000,3500,800,1800,300,1200,7000,1000,200,220
HHCup - Fiesta,46500,200,600,150,4000,3500,800,1800,300,1200,7000,1000,200,220
HHCup - Ibiza,46500,200,600,150,4000,3500,800,1800,300,1200,7000,1000,200,220
HHCup - Corsa,46500,200,600,150,4000,3500,800,1800,300,1200,7000,1000,200,220
HHCup - 207,46500,200,600,150,4000,3500,800,1800,300,1200,7000,1000,200,220
HHCup - Yaris,46500,200,600,150,4000,3500,800,1800,300,1200,7000,1000,200,220
HHCup - Clio,46500,200,600,150,4000,3500,800,1800,300,1200,7000,1000,200,220
HHCup 300 - Giulietta,65100,250,700,180,6000,5000,1200,2500,400,1800,10000,1100,300,250
HHCup 300 - Punto,65100,250,700,180,6000,5000,1200,2500,400,1800,10000,1100,300,250
HHCup 300 - Focus,65100,250,700,180,6000,5000,1200,2500,400,1800,10000,1100,300,250
HHCup 300 - Mazda 3,65100,250,700,180,6000,5000,1200,2500,400,1800,10000,1100,300,250
HHCup 300 - Megane,65100,250,700,180,6000,5000,1200,2500,400,1800,10000,1100,300,250
HHCup 300 - Golf,65100,250,700,180,6000,5000,1200,2500,400,1800,10000,1100,300,250
