rule_id,subject_type,subject_ref,operator,value
formula_ford_race_tires,object,id,contains,formula_ford
formula_ford_race_oil,object,id,contains,formula_ford
formula_ford_engine_year,object,id,contains,formula_ford
formula_ford_gearbox_year,object,id,contains,formula_ford
formula_ford_insurance_year,object,id,contains,formula_ford
formula_ford_random_issue,object,id,contains,formula_ford
monthly_garage_rent,object,type,equals,vehicle
cosmetic_fix_daily,object,type,equals,vehicle
bolt_on_repair_daily,object,type,equals,vehicle
factory_rebuild_daily,object,type,equals,vehicle
cosmetic_fix_race,object,type,equals,vehicle
bolt_on_repair_race,object,type,equals,vehicle
factory_rebuild_race,object,type,equals,vehicle
