id,name,day_of_year,entry_fee,prize_pool
r1,Silverstone Track Day,100,200,0
r2,Donington Park Race Weekend (FFord Rds 1-2),94,375,3500
r3,Donington Park Track Day,120,215,0
r4,Brands Hatch Track Day,111,215,0
r5,Croft Race Weekend (FFord Rds 3-4),122,350,3000
r6,Croft Track Day,169,99,0
r7,Knockhill Race Weekend (FFord Rds 5-6),136,340,3000
r8,Snetterton Race Weekend (FFord Rds 7-8),150,375,3500
r9,Cadwell Park Track Day,159,175,0
r10,Castle Combe Race Weekend (FFord Rds 9-10),171,350,3000
r11,Silverstone Track Day,180,220,0
r12,Oulton Park Race Weekend (FFord Rds 11-12),198,380,3500
r13,Brands Hatch Track Day,194,225,0
r14,Silverstone Race Weekend (FFord Rds 13-14),227,420,4000
r15,Donington Park Track Day,232,215,0
r16,Thruxton Race Weekend (FFord Rds 15-16),242,380,3500
r17,Snetterton Track Day,240,185,0
r18,Snetterton Track Day,251,185,0
r19,Oulton Park Track Day,200,159,0
r20,Spa-Francorchamps Race Weekend (FFord Rds 17-18),255,500,5000
r21,Brands Hatch Race Weekend (FFord Rds 19-20),276,400,4000
r22,Brands Hatch Formula Ford Festival,288,450,10000
r23,Snetterton Track Day,264,185,0
r24,Croft Track Day,190,132,0
r25,Mallory Park Track Day,173,109,0
r26,Pembrey Track Day,170,90,0
r27,Rockingham Track Day,171,154,0
r28,Donington Park Track Day,90,145,0
r29,Brands Hatch Track Evening,99,89,0
r30,Cadwell Park Track Day,170,99,0
r31,Castle Combe Race Day,181,90,500
r32,Rockingham Track Evening,230,65,0
r33,Lydden Hill Track Day,231,110,0
r34,Silverstone GP Track Day,232,199,0
r35,Donington Park Track Day,233,149,0
r36,Cadwell Park Track Day,235,99,0
r37,Snetterton Track Day,235,99,0
r38,Donington Park Race Day,237,149,0
r39,Oulton Park Track Day,239,159,0
r40,Brands Hatch GP Track Day,239,219,0
r41,Castle Combe Track Day,240,120,0
r42,Mallory Park Track Day,241,99,0
r43,VSCC Race Meeting (Silverstone Festival),159,100,500
r44,SCV8 Supercar Race Day (Snetterton),177,120,600
r45,SCV8 Supercar Race Day (Castle Combe),199,150,700
r46,SCV8 Supercar Race Day (Knockhill),247,120,600
r47,SCV8 Supercar Race Day (Brands Hatch),289,150,700
