rule_id,subject_type,subject_ref,operator,value
formula_ford_race_tires,object,id,contains,formula_ford
formula_ford_race_oil,object,id,contains,formula_ford
formula_ford_engine_year,object,id,contains,formula_ford
formula_ford_gearbox_year,object,id,contains,formula_ford
formula_ford_insurance_year,object,id,contains,formula_ford
formula_ford_random_issue,object,id,contains,formula_ford
clio_cup_race_tires,object,id,contains,renault_clio_cup
clio_cup_race_oil,object,id,contains,renault_clio_cup
clio_cup_engine_year,object,id,contains,renault_clio_cup
clio_cup_gearbox_year,object,id,contains,renault_clio_cup
clio_cup_insurance_year,object,id,contains,renault_clio_cup
clio_cup_random_issue,object,id,contains,renault_clio_cup
