id,name,type,base_cost,stamina_cost,risk_factor,success_rate,payout,payout_freq_type,payout_freq,payout_freq_unit,description_html,sponsor_quest_id,sponsor_object_id,sponsor_payouts,resolution_method
act_tutor_muggleborn,Muggelstämmige Nachhilfe geben,work,0,2,0.0,0.85,120,recurring,1,week,,,,,random
act_library_assistant,Bibliotheksassistent,work,0,1,0.0,0.95,60,recurring,1,week,,,,,random
act_owl_post,Eulenpost-Bote,work,0,1,0.0,0.9,45,recurring,1,week,,,,,random
act_apothecary_help,Apothekenhelfer,work,0,2,0.0,0.8,90,recurring,1,week,,,,,random
act_potions_brew,Tränke zum Verkauf brauen,trade,80,3,0.3,0.65,300,once,0,day,,,,,random
act_herb_gather,Seltene Kräuter sammeln,trade,20,2,0.15,0.75,150,once,0,day,,,,,random
act_scroll_copy,Verzauberte Schriftrollen kopieren,trade,40,2,0.1,0.8,180,once,0,day,,,,,random
act_creature_show,Magische-Kreaturen-Show,trade,150,3,0.4,0.5,600,once,0,day,,,,,random
act_gringotts_shift,Gringotts-Schalterschicht,work,0,2,0.0,0.9,150,recurring,1,week,,,,,random
act_quidditch_train,Quidditch-Training,sport,0,3,0.0,1.0,0,recurring,1,week,,,,,random
act_duel_club,Duellier-Club-Training,sport,0,2,0.2,0.7,0,recurring,1,week,,,,,random
act_study_owl,Für ZAGs lernen,study,0,2,0.0,1.0,0,recurring,1,week,,,,,random
act_study_newt,Für UTZs lernen,study,0,3,0.0,1.0,0,recurring,1,week,,,,,random
act_practice_charms,Zauberkunst üben,study,0,1,0.0,1.0,0,recurring,1,week,,,,,random
act_practice_transfig,Verwandlung üben,study,0,2,0.0,1.0,0,recurring,1,week,,,,,random
act_practice_potions,Zaubertränke üben,study,0,2,0.0,1.0,0,recurring,1,week,,,,,random
act_practice_herbology,Kräuterkunde üben,study,0,1,0.0,1.0,0,recurring,1,week,,,,,random
act_practice_defence,Verteidigung gegen die dunklen Künste üben,study,0,3,0.05,0.9,0,recurring,1,week,,,,,random
act_meditation,Auf dem Astronomieturm meditieren,rest,0,0,0.0,1.0,0,once,0,day,,,,,random
act_visit_hogsmeade,Hogsmeade besuchen,social,40,1,0.1,0.9,0,once,0,day,,,,,random
act_feast_attend,Am Hausfestmahl teilnehmen,social,20,1,0.05,0.95,0,once,0,day,,,,,random
act_duelling_tournament,Am Duellierturnier teilnehmen,trade,100,4,0.5,0.5,800,once,0,day,,,,,random
act_potion_competition,Am Tränkewettbewerb teilnehmen,trade,60,3,0.35,0.6,500,once,0,day,,,,,random
act_quidditch_match_play,Quidditch-Spiel bestreiten,sport,0,5,0.25,0.7,0,once,0,day,,,,,random
act_patronus_lesson,Patronus-Unterricht,study,50,3,0.1,0.8,0,once,0,day,,,,,random
act_apparition_test,Apparierungsprüfung,study,75,2,0.2,0.85,0,once,0,day,,,,,random
act_ancient_rune_translate,Alte Runen übersetzen,trade,30,2,0.1,0.8,200,once,0,day,,,,,random
act_arithmancy_fortune,Arithmantik-Wahrsagung,trade,25,1,0.05,0.9,120,once,0,day,,,,,random
act_divination_seer,Divination-Sitzung,trade,20,1,0.15,0.75,100,once,0,day,,,,,random
act_creature_rescue,Magische-Kreaturen-Rettung,work,0,4,0.3,0.65,350,once,0,day,,,,,random
act_quidditch_captaincy_apply,Als Quidditch-Kapitän bewerben,sponsor,0,1,0.0,0.9,0,recurring,1,year,,quidditch_house_cup,quidditch_kit,1:400;2:250;3:150;default:50,random
act_ministry_internship,Praktikum im Zaubereiministerium,work,0,3,0.0,0.8,0,recurring,1,year,,,,,random
act_daily_prophet_column,Kolumne im Tagespropheten,trade,0,2,0.0,0.85,0,recurring,1,month,,,,,random
act_slug_club_invite,Einladung zum Slug-Club,social,0,0,0.0,1.0,0,recurring,1,year,,,,,random
act_house_elf_help,Den Hauselfen helfen,work,0,1,0.0,0.95,25,recurring,1,week,,,,,random
act_forbidden_forest_patrol,Patrouille im Verbotenen Wald,work,0,3,0.4,0.6,200,once,0,day,,,,,random
act_chamber_of_secrets_explore,Die Kammer des Schreckens erkunden,work,0,5,0.6,0.4,1000,once,0,day,,,,,random
act_marauders_map_study,Die Karte der Rumtreiber studieren,study,0,2,0.0,1.0,0,once,0,day,,,,,random
act_time_turner_use,Einen Zeitumkehrer benutzen,study,0,4,0.2,0.85,0,once,0,day,,,,,random
