rule_id,subject_type,subject_ref,operator,value
potions_ingredient_daily,object,type,equals,artifact
potions_ingredient_daily,object,id,contains,cauldron
potions_ingredient_advanced,object,id,contains,cauldron
wand_maintenance_term,object,id,contains,wand
wand_recharge_year,object,id,contains,wand
broom_service_term,object,id,contains,broom
broom_annual_year,object,id,contains,broom
owl_feed_monthly,object,id,contains,owl
cat_feed_monthly,object,id,contains,cat
toad_feed_monthly,object,id,contains,toad
robe_patch_daily,object,id,contains,robe
cauldron_clean_daily,object,type,equals,artifact
cauldron_clean_daily,object,id,contains,cauldron
cauldron_repair_daily,object,id,contains,cauldron
textbook_replace_daily,object,id,contains,textbook
telescope_calibrate_daily,object,id,contains,telescope
herbology_gloves_daily,object,id,contains,gloves
quidditch_pads_daily,object,id,contains,quidditch
school_fee_term,player,age,greater_than,10
dormitory_rent_monthly,player,age,greater_than,10
duelling_wand_repair_race,object,id,contains,wand
duelling_wand_rebuild_race,object,id,contains,wand
quidditch_broom_repair_race,object,id,contains,broom
quidditch_broom_major_race,object,id,contains,broom
potion_spill_cleanup_race,object,id,contains,cauldron
potion_spill_repair_race,object,id,contains,cauldron
creature_vet_daily,object,id,contains,owl
cat_vet_daily,object,id,contains,cat
toad_vet_daily,object,id,contains,toad
