id,event_id,resource,amount,interval,interval_unit,due_days,max_payments,fault_limit,fault_consequence,completion_consequence,skip_when_sick,fault_blocks_payout,fault_title,fault_message,fault_log,limit_title,limit_message,limit_log
work_act_tutor_muggleborn,act_tutor_muggleborn,stamina,2,1,day,1;2;3;4;5,0,3,end_event,,true,true,Workday fault,"You did not have enough stamina to work today. This is fault {faults} of {fault_limit}.",Workday fault recorded ({faults}),Job lost,"You accumulated {fault_limit} workday faults and were fired.",Job lost after reaching the workday fault limit
work_act_library_assistant,act_library_assistant,stamina,1,1,day,1;2;3;4;5,0,3,end_event,,true,true,Workday fault,"You did not have enough stamina to work today. This is fault {faults} of {fault_limit}.",Workday fault recorded ({faults}),Job lost,"You accumulated {fault_limit} workday faults and were fired.",Job lost after reaching the workday fault limit
work_act_owl_post,act_owl_post,stamina,1,1,day,1;2;3;4;5,0,3,end_event,,true,true,Workday fault,"You did not have enough stamina to work today. This is fault {faults} of {fault_limit}.",Workday fault recorded ({faults}),Job lost,"You accumulated {fault_limit} workday faults and were fired.",Job lost after reaching the workday fault limit
work_act_apothecary_help,act_apothecary_help,stamina,2,1,day,1;2;3;4;5,0,3,end_event,,true,true,Workday fault,"You did not have enough stamina to work today. This is fault {faults} of {fault_limit}.",Workday fault recorded ({faults}),Job lost,"You accumulated {fault_limit} workday faults and were fired.",Job lost after reaching the workday fault limit
work_act_gringotts_shift,act_gringotts_shift,stamina,2,1,day,1;2;3;4;5,0,3,end_event,,true,true,Workday fault,"You did not have enough stamina to work today. This is fault {faults} of {fault_limit}.",Workday fault recorded ({faults}),Job lost,"You accumulated {fault_limit} workday faults and were fired.",Job lost after reaching the workday fault limit
work_act_creature_rescue,act_creature_rescue,stamina,4,1,day,1;2;3;4;5,1,1,end_event,end_event,true,true,Workday fault,"You did not have enough stamina to work today. This is fault {faults} of {fault_limit}.",Workday fault recorded ({faults}),Job lost,"You accumulated {fault_limit} workday faults and were fired.",Job lost after reaching the workday fault limit
work_act_ministry_internship,act_ministry_internship,stamina,3,1,day,1;2;3;4;5,0,3,end_event,,true,true,Workday fault,"You did not have enough stamina to work today. This is fault {faults} of {fault_limit}.",Workday fault recorded ({faults}),Job lost,"You accumulated {fault_limit} workday faults and were fired.",Job lost after reaching the workday fault limit
work_act_house_elf_help,act_house_elf_help,stamina,1,1,day,1;2;3;4;5,0,3,end_event,,true,true,Workday fault,"You did not have enough stamina to work today. This is fault {faults} of {fault_limit}.",Workday fault recorded ({faults}),Job lost,"You accumulated {fault_limit} workday faults and were fired.",Job lost after reaching the workday fault limit
work_act_forbidden_forest_patrol,act_forbidden_forest_patrol,stamina,3,1,day,1;2;3;4;5,1,1,end_event,end_event,true,true,Workday fault,"You did not have enough stamina to work today. This is fault {faults} of {fault_limit}.",Workday fault recorded ({faults}),Job lost,"You accumulated {fault_limit} workday faults and were fired.",Job lost after reaching the workday fault limit
work_act_chamber_of_secrets_explore,act_chamber_of_secrets_explore,stamina,5,1,day,1;2;3;4;5,1,1,end_event,end_event,true,true,Workday fault,"You did not have enough stamina to work today. This is fault {faults} of {fault_limit}.",Workday fault recorded ({faults}),Job lost,"You accumulated {fault_limit} workday faults and were fired.",Job lost after reaching the workday fault limit
