id,type,name,success_points,failure_points,join_fee,required_license_id,description_html,championship_rewards,driver_names
hogwarts_house_cup,championship,Hogwarts House Cup,10,0,0,license_apprentice,,1:5000;2:3000;3:2000,
quidditch_house_cup,championship,Quidditch House Cup,10,0,50,license_apprentice,,1:400;2:250;3:150,
triwizard_tournament,championship,Trimagisches Turnier,20,0,200,license_journeyman,,1:2000;2:1000;3:500,
owl_examinations,quest,OWL-Prüfungen,10,0,50,license_apprentice,,,
newt_examinations,quest,NEWT-Prüfungen,15,0,80,license_journeyman,,,
duelling_championship,championship,Duellier-Meisterschaft,10,0,100,license_apprentice,,1:800;2:500;3:300,
potions_mastery,quest,Meisterschaft der Tränke,10,0,60,license_apprentice,,,
creature_keeping_certificate,quest,Artenschutzzertifikat,10,0,40,license_apprentice,,,
apparition_license,quest,Apparierungslizenz,10,0,75,license_journeyman,,,
ancient_runes_scholarship,quest,Stipendium für Alte Runen,10,0,30,license_apprentice,,,
ministry_career_track,quest,Ministeriums-Laufbahn,15,0,0,license_master,,,
gringotts_employment,quest,Gringotts-Beschäftigung,15,0,0,license_journeyman,,,
daily_prophet_journalist,quest,Tagesprophet-Journalist,10,0,0,license_journeyman,,,
slug_club_membership,quest,Slug-Club-Mitgliedschaft,5,0,0,license_apprentice,,,
order_of_the_phoenix_recruitment,quest,Rekrutierung des Phönix-Ordens,20,0,0,license_master,,,
death_eater_infiltration,quest,Infiltration der Todesser,20,0,0,license_master,,,
horcrux_hunt,quest,Jagd nach Horkruxen,25,0,0,license_master,,,
